"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"Adafruit_DS3231_bb";1;"Adafruit_DS3231";;;
2;"S1";"BOURNS-PEC11";1;"BOURNS_PEC11";;;
3;"H4,H3,H2,H1";"MountingHole_2.2mm_M2";4;"MountingHole";;;
4;"C3";"C_Rect_L11.0mm_W4.2mm_P10.00mm_MKT";1;"0.1uF";;;
5;"J1";"BarrelJack_Horizontal_MP";1;"Barrel_Jack_MountingPin";;;
6;"HS1";"HSINK_HSS-B20-053H-01";1;"HSS-B20-053H-01";;;
7;"J3,J2";"TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal";2;"Screw_Terminal_01x02";;;
8;"U9,U8,U7,U6";"exixe-IN-14N";4;"exixe";;;
9;"U1";"MODULE_ARDUINO_PRO_MINI";1;"ARDUINO_PRO_MINI";;;
10;"U4";"BMP180_bb";1;"BMP180";;;
11;"U3";"TO-220-3_Vertical";1;"LM317_TO-220";;;
12;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
13;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"330";;;
14;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"560";;;
15;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"1N4002";;;
16;"C4";"CP_Radial_D10.0mm_P7.50mm";1;"1.0uF";;;
17;"C2,C1";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"1nF";;;
